receipt_number,item_id,variant_id,quantity,price,gross_total_money,total_money,cost,cost_total,line_note
1-1096,66634735-19e6-4cad-9945-cd4970e70f95,411796c5-ac53-4f3f-8b3f-a0d305254f56,1,1575.0,1575.0,1575.0,0.0,0.0,
1-1096,d89350d2-07b3-4518-a6dd-2165be2e8a9d,27fed9ad-350f-4cdd-9e8d-8eb3afd9699b,1,1575.0,1575.0,1575.0,0.0,0.0,
1-1096,e21e0fd5-2a15-4dfe-abc2-a284902f413c,206a3a72-6054-422d-b1fd-9f8a86b4de96,6,3150.0,18900.0,18900.0,0.0,0.0,
1-1096,927bb1b2-8059-432d-9521-e3411e725084,c3cdd912-b40b-4500-b3dd-b94c30ef6693,4,2100.0,8400.0,8400.0,0.0,0.0,
1-1096,b0418a29-b03e-4c07-aac4-386765486b38,b8cd6f87-2043-4724-ad52-af2f2e0935e9,8,787.5,6300.0,6300.0,666.67,5333.36,
1-1096,8f44dc00-b905-4c50-8d21-04956ebb7495,42a91be1-35e6-405d-aef1-30c76bbb37d9,12,45.0,540.0,540.0,50.99,611.88,
1-1096,dcc78519-1e8c-409e-9396-833e7b6fd00b,0b9f5ea9-0870-4529-8c1b-707d66cad93d,7,194.25,1359.75,1359.75,1962.0,13734.0,
1-1096,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,1,2000.0,2000.0,2000.0,4000.0,4000.0,
1-1095,5d7364c0-921b-4851-8c48-16cf845d9da8,45dd4c3e-25db-4b72-9242-0ba9b8162619,6,1200.0,7200.0,7200.0,2000.0,12000.0,
1-1095,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,4,542.5,2170.0,2170.0,516.67,2066.68,
1-1095,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,1,2100.0,2100.0,2100.0,8451.22,8451.22,
1-1095,99871376-7d34-4dc7-9ae4-95f6953bd095,39959c12-5c67-4947-a30e-eb5b6cdcaa90,1,2887.5,2887.5,2887.5,2916.67,2916.67,
1-1095,c8caf7c7-87e7-4251-8b13-1a5e40acf364,fa0170d2-f9a6-424a-abe8-82a377240228,1,2500.0,2500.0,2500.0,0.0,0.0,
1-1095,5b7bfb84-0369-4a5e-9739-4ea25adf57af,c9633535-28cf-444b-836a-b7fc54cc78ef,4,2400.0,9600.0,9600.0,2270.43,9081.72,
1-1095,935dbc80-b6d1-4d1c-80c7-183c7ffc118f,00c01a5c-c23f-45a7-9b75-55ab1411d464,2,1200.0,2400.0,2400.0,0.0,0.0,
1-1095,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,10,116.67,1166.7,1166.7,4000.0,40000.0,
1-1095,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,3,1000.0,3000.0,3000.0,875.0,2625.0,
1-1095,80b1f785-1ec6-45d3-8fa7-f5b687ede381,007fd737-5c7e-4ef6-b37e-2c5159b344d5,2,892.5,1785.0,1785.0,0.0,0.0,
1-1095,cfbe20cb-eb25-4b77-b21c-d40d62c1d21e,7471dd33-b6a5-4572-96b3-f7a420001d36,2,1200.0,2400.0,2400.0,0.0,0.0,
1-1095,1e53a31b-8b49-4976-83ee-e6e9084fe0f9,b774ece9-d6b6-4fb4-ad63-12f842de47e7,1,400.0,400.0,400.0,350.0,350.0,
1-1095,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,1,3000.0,3000.0,3000.0,2666.67,2666.67,
1-1095,b85d47ad-ff7f-4859-b151-52b2dbcd4739,a66a3ace-1791-4b96-8222-1c2f4a03e580,2,1200.0,2400.0,2400.0,1229.17,2458.34,
1-1095,d956de68-e436-450c-ad56-27489862a82f,7ab76f79-118d-4eb4-9ce7-8ec2fc06c2e4,1,1000.0,1000.0,1000.0,0.0,0.0,
1-1095,3a638b81-dfae-4034-83c1-c391b7c8c038,456bcc8d-e564-478d-9aa1-0065d27b1c96,4,1050.0,4200.0,4200.0,0.0,0.0,
1-1095,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,2,1500.0,3000.0,3000.0,0.0,0.0,
1-1095,b002e6e9-53f9-413a-a875-6fabff88c9fd,0f241901-ede8-4ae9-9016-6712d2d9227f,6,500.0,3000.0,3000.0,0.0,0.0,
1-1095,ab4e54f4-efa8-4c90-a296-fa772f8a7945,367c7d2f-6a84-4919-9d64-1d37ea0810ba,1,4000.0,4000.0,4000.0,0.0,0.0,
1-1095,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,1,22575.0,22575.0,22575.0,22000.0,22000.0,
1-1095,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,3,1050.0,3150.0,3150.0,12000.0,36000.0,
1-1095,11227978-c0d3-4197-b263-793f086ae380,34f8197c-d4db-450f-afe0-bf77dd7d6a27,2,450.0,900.0,900.0,420.0,840.0,
1-1095,8cbebb5a-8e21-4ba5-823c-38775995d00b,d1937bde-8a8e-43b6-9e45-091663ff27cc,2,1006.25,2012.5,2012.5,1836.8,3673.6,
1-1095,74e63c47-8708-4d85-ad6b-032ceced626d,5af27acf-9e6d-4426-9de6-1a02c0f5c94d,1,2300.0,2300.0,2300.0,0.0,0.0,
1-1095,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,2,262.5,525.0,525.0,242.76,485.52,
1-1095,d0d34154-a175-4240-99ec-a056afdf9ade,e40b5614-e0df-4954-a46d-578bc4f1bb49,1,1500.0,1500.0,1500.0,0.0,0.0,
1-1095,b4afeef3-1f2c-4fd4-bf9f-abc6da9526b5,351e2c02-b4ea-4f46-af62-2d1fc53a0d60,1,1000.0,1000.0,1000.0,0.0,0.0,
1-1095,6fd6b73e-b67e-4af2-b580-99cc1f8e3735,bfa564ba-c90e-4cf4-9938-9bd1f655abbb,3,350.0,1050.0,1050.0,0.0,0.0,
1-1095,606e15c3-8a60-4cc8-8959-057964a853ca,068e40f2-86b5-40f6-82b2-17dd72c3001c,6,583.33,3499.98,3499.98,0.0,0.0,
1-1095,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,1,10000.0,10000.0,10000.0,0.0,0.0,
1-1095,7945d3e6-ee9d-4692-b26b-298d91face2b,d6df15f7-7fb4-41e9-a682-92c731a7e34b,2,750.0,1500.0,1500.0,0.0,0.0,
1-1095,8f44dc00-b905-4c50-8d21-04956ebb7495,42a91be1-35e6-405d-aef1-30c76bbb37d9,12,45.0,540.0,540.0,50.99,611.88,
1-1095,5f18252f-dde4-4de4-b077-9e8cb71dec53,557e999e-d9a3-4c1d-b2b5-821c0ffc216c,1,1000.0,1000.0,1000.0,0.0,0.0,
1-1095,25ba0c41-8121-4a0b-9d90-c1df9bd76544,a41354ba-7639-487e-939e-350eba92f844,1,2000.0,2000.0,2000.0,0.0,0.0,
1-1095,28471e31-d602-4610-91b9-992930b9fbb3,22bbe1a9-5e3d-496b-99ec-5cc7e45053a2,1,1500.0,1500.0,1500.0,0.0,0.0,
